Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Mus musculus predicted gene, 53944 (Gm53944), ncRNA",Mus musculus,24.3,24.3,75%,52,100.00,8140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_004939325.1?report=genbank&log$=nucltop&blast_rank=14&RID=69UHK58X016"",""XR_004939325.1"")"
"PREDICTED: Mus musculus phosphoinositide-3-kinase regulatory subunit 1 (Pik3r1), transcript variant X2, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,7295,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006517570.4?report=genbank&log$=nucltop&blast_rank=15&RID=69UHK58X016"",""XM_006517570.4"")"
"Mus musculus transcription factor AP-2, alpha (Tfap2a), transcript variant 1a, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,3208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_011547.5?report=genbank&log$=nucltop&blast_rank=16&RID=69UHK58X016"",""NM_011547.5"")"
"PREDICTED: Mus musculus predicted gene, 52138 (Gm52138), ncRNA",Mus musculus,24.3,24.3,75%,52,100.00,5561,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_003951201.2?report=genbank&log$=nucltop&blast_rank=17&RID=69UHK58X016"",""XR_003951201.2"")"
"PREDICTED: Mus musculus predicted gene, 31614 (Gm31614), transcript variant X7, ncRNA",Mus musculus,24.3,24.3,75%,52,100.00,2283,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_004935777.1?report=genbank&log$=nucltop&blast_rank=18&RID=69UHK58X016"",""XR_004935777.1"")"
"PREDICTED: Mus musculus transcription factor AP-2, alpha (Tfap2a), transcript variant X4, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,4824,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006516903.5?report=genbank&log$=nucltop&blast_rank=19&RID=69UHK58X016"",""XM_006516903.5"")"
"PREDICTED: Mus musculus predicted gene, 41959 (Gm41959), ncRNA",Mus musculus,24.3,24.3,75%,52,100.00,47437,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_004935427.1?report=genbank&log$=nucltop&blast_rank=20&RID=69UHK58X016"",""XR_004935427.1"")"
"Mus musculus LanC (bacterial lantibiotic synthetase component C)-like 1 (Lancl1), transcript variant 3, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,4243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001190984.1?report=genbank&log$=nucltop&blast_rank=21&RID=69UHK58X016"",""NM_001190984.1"")"
"PREDICTED: Mus musculus transcription factor AP-2, alpha (Tfap2a), transcript variant X1, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,3355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_030247224.1?report=genbank&log$=nucltop&blast_rank=22&RID=69UHK58X016"",""XM_030247224.1"")"
"PREDICTED: Mus musculus uncharacterized LOC105243553 (LOC105243553), transcript variant X2, ncRNA",Mus musculus,24.3,24.3,100%,52,93.75,11736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_003949610.2?report=genbank&log$=nucltop&blast_rank=23&RID=69UHK58X016"",""XR_003949610.2"")"
"PREDICTED: Mus musculus erythrocyte membrane protein band 4.1 like 2 (Epb41l2), transcript variant X26, misc_RNA",Mus musculus,24.3,24.3,100%,52,93.75,7199,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_004936095.1?report=genbank&log$=nucltop&blast_rank=24&RID=69UHK58X016"",""XR_004936095.1"")"
"PREDICTED: Mus musculus predicted gene, 42407 (Gm42407), ncRNA",Mus musculus,24.3,24.3,75%,52,100.00,536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_882307.2?report=genbank&log$=nucltop&blast_rank=25&RID=69UHK58X016"",""XR_882307.2"")"
"PREDICTED: Mus musculus RecQ mediated genome instability 1 (Rmi1), transcript variant X2, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,4445,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036158198.1?report=genbank&log$=nucltop&blast_rank=26&RID=69UHK58X016"",""XM_036158198.1"")"
"Mus musculus LanC (bacterial lantibiotic synthetase component C)-like 1 (Lancl1), transcript variant 1, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,4461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001190985.1?report=genbank&log$=nucltop&blast_rank=27&RID=69UHK58X016"",""NM_001190985.1"")"
"PREDICTED: Mus musculus LanC (bacterial lantibiotic synthetase component C)-like 1 (Lancl1), transcript variant X1, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,4546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_011238435.4?report=genbank&log$=nucltop&blast_rank=28&RID=69UHK58X016"",""XM_011238435.4"")"
"Mus musculus RecQ mediated genome instability 1 (Rmi1), transcript variant 2, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,3552,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_028904.4?report=genbank&log$=nucltop&blast_rank=29&RID=69UHK58X016"",""NM_028904.4"")"
"Mus musculus mannose receptor, C type 1 (Mrc1), mRNA",Mus musculus,24.3,24.3,75%,52,100.00,5322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_008625.2?report=genbank&log$=nucltop&blast_rank=30&RID=69UHK58X016"",""NM_008625.2"")"
"PREDICTED: Mus musculus predicted gene, 31614 (Gm31614), transcript variant X2, ncRNA",Mus musculus,24.3,24.3,75%,52,100.00,2334,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_004935775.1?report=genbank&log$=nucltop&blast_rank=31&RID=69UHK58X016"",""XR_004935775.1"")"
"PREDICTED: Mus musculus predicted gene, 31614 (Gm31614), transcript variant X5, ncRNA",Mus musculus,24.3,24.3,75%,52,100.00,1633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_001779158.2?report=genbank&log$=nucltop&blast_rank=32&RID=69UHK58X016"",""XR_001779158.2"")"
"Mus musculus transcription factor AP-2, alpha (Tfap2a), transcript variant 1b, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,3480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001301674.2?report=genbank&log$=nucltop&blast_rank=33&RID=69UHK58X016"",""NM_001301674.2"")"
"Mus musculus RecQ mediated genome instability 1 (Rmi1), transcript variant 1, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,3637,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001168248.2?report=genbank&log$=nucltop&blast_rank=34&RID=69UHK58X016"",""NM_001168248.2"")"
"PREDICTED: Mus musculus erythrocyte membrane protein band 4.1 like 2 (Epb41l2), transcript variant X25, misc_RNA",Mus musculus,24.3,24.3,100%,52,93.75,7178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_001779454.2?report=genbank&log$=nucltop&blast_rank=35&RID=69UHK58X016"",""XR_001779454.2"")"
"Mus musculus LanC (bacterial lantibiotic synthetase component C)-like 1 (Lancl1), transcript variant 2, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,4277,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_021295.3?report=genbank&log$=nucltop&blast_rank=36&RID=69UHK58X016"",""NM_021295.3"")"
"Mus musculus RecQ mediated genome instability 1 (Rmi1), transcript variant 3, non-coding RNA",Mus musculus,24.3,24.3,75%,52,100.00,3599,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_031761.1?report=genbank&log$=nucltop&blast_rank=37&RID=69UHK58X016"",""NR_031761.1"")"
"Mus musculus transcription factor AP-2, alpha (Tfap2a), transcript variant 3, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,3500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001122948.2?report=genbank&log$=nucltop&blast_rank=38&RID=69UHK58X016"",""NM_001122948.2"")"
"PREDICTED: Mus musculus predicted gene, 31614 (Gm31614), transcript variant X3, ncRNA",Mus musculus,24.3,24.3,75%,52,100.00,2425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_004935776.1?report=genbank&log$=nucltop&blast_rank=39&RID=69UHK58X016"",""XR_004935776.1"")"
"PREDICTED: Mus musculus myosin, heavy polypeptide 1, skeletal muscle, adult (Myh1), transcript variant X1, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,6033,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017314318.3?report=genbank&log$=nucltop&blast_rank=40&RID=69UHK58X016"",""XM_017314318.3"")"
"PREDICTED: Mus musculus predicted gene, 31614 (Gm31614), transcript variant X6, ncRNA",Mus musculus,24.3,24.3,75%,52,100.00,1677,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_003948151.1?report=genbank&log$=nucltop&blast_rank=41&RID=69UHK58X016"",""XR_003948151.1"")"
"PREDICTED: Mus musculus RecQ mediated genome instability 1 (Rmi1), transcript variant X1, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,3037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006517420.5?report=genbank&log$=nucltop&blast_rank=42&RID=69UHK58X016"",""XM_006517420.5"")"
"Mus musculus predicted gene, 32618 (Gm32618), non-coding RNA",Mus musculus,24.3,24.3,75%,52,100.00,1368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_166840.1?report=genbank&log$=nucltop&blast_rank=43&RID=69UHK58X016"",""NR_166840.1"")"
"Mus musculus myosin, heavy polypeptide 2, skeletal muscle, adult (Myh2), mRNA",Mus musculus,24.3,24.3,75%,52,100.00,6083,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001039545.2?report=genbank&log$=nucltop&blast_rank=44&RID=69UHK58X016"",""NM_001039545.2"")"
"Mus musculus cyclin dependent kinase 11B (Cdk11b), transcript variant 4, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,2691,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001355568.2?report=genbank&log$=nucltop&blast_rank=45&RID=69UHK58X016"",""NM_001355568.2"")"
"Mus musculus cyclin dependent kinase 11B (Cdk11b), transcript variant 7, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,2727,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001419994.1?report=genbank&log$=nucltop&blast_rank=46&RID=69UHK58X016"",""NM_001419994.1"")"
"PREDICTED: Mus musculus predicted gene, 33758 (Gm33758), transcript variant X2, ncRNA",Mus musculus,22.3,22.3,69%,204,100.00,717,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_004941521.1?report=genbank&log$=nucltop&blast_rank=47&RID=69UHK58X016"",""XR_004941521.1"")"
"PREDICTED: Mus musculus cyclin dependent kinase 11B (Cdk11b), transcript variant X15, misc_RNA",Mus musculus,22.3,22.3,69%,204,100.00,2518,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_004941804.1?report=genbank&log$=nucltop&blast_rank=48&RID=69UHK58X016"",""XR_004941804.1"")"
"Mus musculus DET1 partner of COP1 E3 ubiquitin ligase (Det1), transcript variant 1, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,2241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_029585.4?report=genbank&log$=nucltop&blast_rank=49&RID=69UHK58X016"",""NM_029585.4"")"
"PREDICTED: Mus musculus ryanodine receptor 1, skeletal muscle (Ryr1), transcript variant X5, mRNA",Mus musculus,22.3,42.6,94%,204,100.00,15370,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006539689.4?report=genbank&log$=nucltop&blast_rank=50&RID=69UHK58X016"",""XM_006539689.4"")"
"Mus musculus neural cell adhesion molecule 1 (Ncam1), transcript variant 5, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,6853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001404722.1?report=genbank&log$=nucltop&blast_rank=51&RID=69UHK58X016"",""NM_001404722.1"")"
"PREDICTED: Mus musculus cyclin dependent kinase 11B (Cdk11b), transcript variant X11, misc_RNA",Mus musculus,22.3,22.3,69%,204,100.00,2670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_004941802.1?report=genbank&log$=nucltop&blast_rank=52&RID=69UHK58X016"",""XR_004941802.1"")"
"PREDICTED: Mus musculus fatty acyl CoA reductase 2 (Far2), transcript variant X1, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,3250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036166257.1?report=genbank&log$=nucltop&blast_rank=53&RID=69UHK58X016"",""XM_036166257.1"")"
"PREDICTED: Mus musculus C9orf72, member of C9orf72-SMCR8 complex (C9orf72), transcript variant X2, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,3513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006538293.5?report=genbank&log$=nucltop&blast_rank=54&RID=69UHK58X016"",""XM_006538293.5"")"
"Mus musculus cell adhesion molecule 3 (Cadm3), transcript variant 1, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,4210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001412814.1?report=genbank&log$=nucltop&blast_rank=55&RID=69UHK58X016"",""NM_001412814.1"")"
"PREDICTED: Mus musculus neural cell adhesion molecule 1 (Ncam1), transcript variant X9, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,7570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006510065.3?report=genbank&log$=nucltop&blast_rank=56&RID=69UHK58X016"",""XM_006510065.3"")"
"Mus musculus BMP2 inducible kinase (Bmp2k), transcript variant 2, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,7356,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001419796.1?report=genbank&log$=nucltop&blast_rank=57&RID=69UHK58X016"",""NM_001419796.1"")"
"PREDICTED: Mus musculus two pore segment channel 2 (Tpcn2), transcript variant X3, mRNA",Mus musculus,22.3,22.3,94%,204,93.33,6060,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006508614.4?report=genbank&log$=nucltop&blast_rank=58&RID=69UHK58X016"",""XM_006508614.4"")"
"PREDICTED: Mus musculus neural cell adhesion molecule 1 (Ncam1), transcript variant X20, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,5573,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006510074.4?report=genbank&log$=nucltop&blast_rank=59&RID=69UHK58X016"",""XM_006510074.4"")"
"PREDICTED: Mus musculus Gem-interacting protein (Gmip), transcript variant X3, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,3790,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006509798.5?report=genbank&log$=nucltop&blast_rank=60&RID=69UHK58X016"",""XM_006509798.5"")"
"Mus musculus cation channel sperm associated auxiliary subunit delta (Catsperd), transcript variant 2, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,2087,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001357897.2?report=genbank&log$=nucltop&blast_rank=61&RID=69UHK58X016"",""NM_001357897.2"")"
"PREDICTED: Mus musculus neural cell adhesion molecule 1 (Ncam1), transcript variant X3, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,7675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006510057.3?report=genbank&log$=nucltop&blast_rank=62&RID=69UHK58X016"",""XM_006510057.3"")"
"Mus musculus small nuclear RNA activating complex, polypeptide 1 (Snapc1), transcript variant 1, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,6400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_178392.6?report=genbank&log$=nucltop&blast_rank=63&RID=69UHK58X016"",""NM_178392.6"")"
"PREDICTED: Mus musculus neural cell adhesion molecule 1 (Ncam1), transcript variant X18, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,6558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_011242413.3?report=genbank&log$=nucltop&blast_rank=64&RID=69UHK58X016"",""XM_011242413.3"")"
"Mus musculus DET1 partner of COP1 E3 ubiquitin ligase (Det1), transcript variant 8, non-coding RNA",Mus musculus,22.3,22.3,69%,204,100.00,2577,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_185008.1?report=genbank&log$=nucltop&blast_rank=65&RID=69UHK58X016"",""NR_185008.1"")"
"PREDICTED: Mus musculus two pore segment channel 2 (Tpcn2), transcript variant X1, mRNA",Mus musculus,22.3,22.3,94%,204,93.33,6176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006508613.4?report=genbank&log$=nucltop&blast_rank=66&RID=69UHK58X016"",""XM_006508613.4"")"
"Mus musculus DET1 partner of COP1 E3 ubiquitin ligase (Det1), transcript variant 7, non-coding RNA",Mus musculus,22.3,22.3,69%,204,100.00,2885,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_185007.1?report=genbank&log$=nucltop&blast_rank=67&RID=69UHK58X016"",""NR_185007.1"")"
"PREDICTED: Mus musculus cyclin dependent kinase 11B (Cdk11b), transcript variant X7, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,2915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036163613.1?report=genbank&log$=nucltop&blast_rank=68&RID=69UHK58X016"",""XM_036163613.1"")"
"PREDICTED: Mus musculus neural cell adhesion molecule 1 (Ncam1), transcript variant X23, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,5257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_011242414.3?report=genbank&log$=nucltop&blast_rank=69&RID=69UHK58X016"",""XM_011242414.3"")"
"PREDICTED: Mus musculus neural cell adhesion molecule 1 (Ncam1), transcript variant X17, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,6766,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006510071.3?report=genbank&log$=nucltop&blast_rank=70&RID=69UHK58X016"",""XM_006510071.3"")"
"PREDICTED: Mus musculus neural cell adhesion molecule 1 (Ncam1), transcript variant X10, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,7570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006510066.3?report=genbank&log$=nucltop&blast_rank=71&RID=69UHK58X016"",""XM_006510066.3"")"
"Mus musculus polyadenylate binding protein-interacting protein 1 (Paip1), transcript variant 1, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,4669,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_145457.5?report=genbank&log$=nucltop&blast_rank=72&RID=69UHK58X016"",""NM_145457.5"")"
"PREDICTED: Mus musculus neural cell adhesion molecule 1 (Ncam1), transcript variant X6, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,7588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006510062.3?report=genbank&log$=nucltop&blast_rank=73&RID=69UHK58X016"",""XM_006510062.3"")"
"Mus musculus cyclin dependent kinase 11B (Cdk11b), transcript variant 5, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,2954,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001355569.2?report=genbank&log$=nucltop&blast_rank=74&RID=69UHK58X016"",""NM_001355569.2"")"
"PREDICTED: Mus musculus ryanodine receptor 1, skeletal muscle (Ryr1), transcript variant X1, mRNA",Mus musculus,22.3,42.6,94%,204,100.00,15442,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036152814.1?report=genbank&log$=nucltop&blast_rank=75&RID=69UHK58X016"",""XM_036152814.1"")"
"Mus musculus small nuclear RNA activating complex, polypeptide 1 (Snapc1), transcript variant 6, non-coding RNA",Mus musculus,22.3,22.3,69%,204,100.00,6491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_184683.1?report=genbank&log$=nucltop&blast_rank=76&RID=69UHK58X016"",""NR_184683.1"")"
"PREDICTED: Mus musculus neural cell adhesion molecule 1 (Ncam1), transcript variant X21, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,5468,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006510075.4?report=genbank&log$=nucltop&blast_rank=77&RID=69UHK58X016"",""XM_006510075.4"")"
"PREDICTED: Mus musculus chromodomain helicase DNA binding protein 9 (Chd9), transcript variant X15, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,29790,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006530572.4?report=genbank&log$=nucltop&blast_rank=78&RID=69UHK58X016"",""XM_006530572.4"")"
"PREDICTED: Mus musculus neural cell adhesion molecule 1 (Ncam1), transcript variant X11, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,7567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006510067.3?report=genbank&log$=nucltop&blast_rank=79&RID=69UHK58X016"",""XM_006510067.3"")"
"PREDICTED: Mus musculus ryanodine receptor 1, skeletal muscle (Ryr1), transcript variant X6, mRNA",Mus musculus,22.3,42.6,94%,204,100.00,15367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036152818.1?report=genbank&log$=nucltop&blast_rank=80&RID=69UHK58X016"",""XM_036152818.1"")"
"PREDICTED: Mus musculus troponin I, cardiac 3 (Tnni3), transcript variant X1, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,1637,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017322110.2?report=genbank&log$=nucltop&blast_rank=81&RID=69UHK58X016"",""XM_017322110.2"")"
"PREDICTED: Mus musculus dynein, axonemal assembly factor 3 (Dnaaf3), transcript variant X1, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,2116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006540166.3?report=genbank&log$=nucltop&blast_rank=82&RID=69UHK58X016"",""XM_006540166.3"")"
"PREDICTED: Mus musculus RIKEN cDNA A930035F09 gene (A930035F09Rik), transcript variant X2, ncRNA",Mus musculus,22.3,22.3,69%,204,100.00,1409,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_879381.4?report=genbank&log$=nucltop&blast_rank=83&RID=69UHK58X016"",""XR_879381.4"")"
"PREDICTED: Mus musculus neural cell adhesion molecule 1 (Ncam1), transcript variant X25, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,5362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_011242416.3?report=genbank&log$=nucltop&blast_rank=84&RID=69UHK58X016"",""XM_011242416.3"")"
