""	"SRR7170030"	"SRR7170031"	"SRR7170032"	"SRR7170033"	"SRR7170034"	"SRR7170035"
"1700007P06Rik"	0	0	0	0	0	0
"1700008C04Rik"	0	0	0	0	0	0
"1700008J07Rik"	108	106	99	150	83	105
"1700008K24Rik"	0	0	0	0	0	0
"1700008O03Rik"	19	6	4	11	16	6
"1700008P02Rik"	0	0	0	0	0	0
"1700009C05Rik"	0	0	0	0	0	0
"1700009J07Rik"	0	0	0	0	0	0
"1700009N14Rik"	0	0	0	0	7	0
"1700010B08Rik"	0	0	0	1	0	0
"1700010D01Rik"	0	0	0	0	0	0
"1700010G06Rik"	0	0	0	0	10	9
"1700010H22Rik"	0	0	0	0	0	0
"1700010I02Rik"	0	0	0	0	0	0
"1700010I14Rik"	21	9	6	21	18	7
"1700010J16Rik"	0	0	0	0	0	0
"1700010K23Rik"	0	0	0	0	0	0
"1700010L04Rik"	0	4	0	0	4	0
"1700010N08Rik"	0	0	0	0	0	0
"1700011B04Rik"	0	0	0	0	0	0
"1700011C11Rik"	0	0	0	0	0	0
"1700011L22Rik"	0	0	0	0	0	0
"1700012A03Rik"	0	0	0	0	0	0
"1700012B07Rik"	0	0	0	0	0	0
"1700012B09Rik"	0	0	0	0	0	0
"1700012C14Rik"	0	1	0	4	2	4
"1700012D01Rik"	6	10	8	5	11	18
"1700012D16Rik"	0	0	0	0	0	0
"1700012H19Rik"	0	0	0	0	0	0
"1700012I11Rik"	0	0	0	0	0	0
"1700012J15Rik"	0	0	0	0	0	0
"1700013D24Rik"	0	0	0	0	0	0
"1700013G24Rik"	0	0	0	0	0	0
"1700013H16Rik"	0	0	0	0	0	0
"1700013N06Rik"	0	0	0	0	0	0
"1700014L14Rik"	0	0	0	0	0	0
"1700015C15Rik"	0	0	0	0	1	0
"1700015I17Rik"	0	0	0	0	0	0
"1700016A09Rik"	0	0	2	0	0	0
"1700016B01Rik"	0	0	0	0	0	0
"1700016C19Rik"	0	0	0	0	0	1
"1700016G22Rik"	0	0	0	0	0	0
"1700016H13Rik"	13	10	4	0	0	2
"1700016J18Rik"	0	0	0	2	1	4
"1700016K05Rik"	0	0	0	0	0	0
"1700016L04Rik"	0	0	0	0	1	0
"1700016L21Rik"	0	0	0	0	0	0
"1700016P04Rik"	0	0	0	0	0	0
"1700017B05Rik"	1623	870	844	1160	862	1486
"1700017G19Rik"	0	0	0	0	0	0
"1700017J07Rik"	0	0	0	0	0	0
"1700017L05Rik"	0	0	0	0	0	0
"1700017M07Rik"	0	0	0	1	0	0
"1700017N19Rik"	0	0	0	0	0	0
"1700018A04Rik"	0	0	0	0	0	0
"1700018A23Rik"	0	0	0	0	0	0
"1700018B08Rik"	0	0	0	0	0	0
"1700018B24Rik"	0	0	0	0	0	0
"1700018F24Rik"	0	0	0	0	0	0
"1700018L02Rik"	1	1	0	0	1	1
"1700019A02Rik"	0	0	0	0	0	0
"1700019C18Rik"	0	0	0	0	0	0
"1700019D03Rik"	163	182	170	143	97	86
"1700019E08Rik"	0	0	0	0	0	0
"1700019F05Rik"	0	0	0	0	0	0
"1700019G24Rik"	0	0	0	0	0	0
"1700019J19Rik"	0	0	1	1	3	1
"1700019M22Rik"	0	0	0	0	0	0
"1700019P21Rik"	0	0	0	0	0	0
"1700020A23Rik"	0	0	0	0	0	0
"1700020D12Rik"	0	0	0	0	0	0
"1700020D14Rik"	0	0	0	0	0	0
"1700020G03Rik"	1	2	2	0	0	0
"1700020G17Rik"	0	0	0	0	0	0
"1700020L13Rik"	0	0	0	0	0	0
"1700020L24Rik"	0	2	0	0	0	0
"1700020M21Rik"	0	0	0	0	0	0
"1700020N01Rik"	0	0	0	0	0	0
"1700020N15Rik"	0	0	0	0	0	0
"1700020N18Rik"	0	0	0	0	0	0
"1700021F02Rik"	0	0	0	0	0	0
"1700021G15Rik"	0	0	0	0	0	0
"1700021L23Rik"	0	0	0	0	0	0
"1700021N21Rik"	0	0	2	0	0	0
"1700022A21Rik"	0	0	0	0	0	0
"1700022A22Rik"	0	0	0	0	0	0
"1700022E09Rik"	0	0	0	0	0	0
"1700022H01Rik"	11	0	2	0	0	0
"1700022H16Rik"	0	0	0	0	0	0
"1700022N22Rik"	0	4	6	4	9	5
"1700023A20Rik"	0	0	0	0	0	0
"1700023C21Rik"	0	0	0	0	0	0
"1700023D09Rik"	1	0	0	4	4	2
"1700023F02Rik"	0	0	0	0	0	0
"1700023G09Rik"	0	0	0	0	0	0
"1700024B05Rik"	0	0	0	0	0	0
"1700024B18Rik"	0	0	0	0	0	0
"1700024G13Rik"	0	0	0	0	0	0
"1700024I08Rik"	0	0	0	0	0	0
"1700024J04Rik"	0	0	0	0	0	0
"1700024N05Rik"	0	0	0	0	0	0
"1700025B11Rik"	0	0	0	0	0	0
"1700025C18Rik"	0	0	0	0	0	0
"1700025D23Rik"	0	0	0	0	0	0
"1700025F24Rik"	0	1	0	0	0	0
"1700025G04Rik"	796	866	740	943	779	853
"1700025H01Rik"	0	0	0	0	0	0
"1700025J12Rik"	0	0	0	0	0	0
"1700025K04Rik"	0	0	0	0	0	0
"1700025K24Rik"	0	0	0	0	0	0
"1700025M24Rik"	0	0	2	0	0	0
"1700025N21Rik"	6	12	30	18	2	0
"1700025N23Rik"	0	0	0	0	0	0
"1700025O08Rik"	0	0	0	0	0	0
"1700026D11Rik"	0	0	0	0	0	0
"1700026F02Rik"	0	0	0	0	0	0
"1700026J12Rik"	0	0	0	0	0	0
"1700026J14Rik"	0	2	0	0	0	0
"1700027F06Rik"	0	0	0	0	0	0
"1700027F09Rik"	0	0	0	0	0	0
"1700027H10Rik"	0	0	0	0	0	0
"1700027I24Rik"	0	0	0	0	0	0
"1700027J07Rik"	0	0	1	0	0	0
"1700028B04Rik"	0	0	0	0	0	0
"1700028D13Rik"	0	0	0	0	0	0
"1700028E10Rik"	3	0	0	10	3	0
"1700028I16Rik"	0	0	0	1	5	0
"1700028J19Rik"	15	34	28	22	5	6
"1700028K03Rik"	2	0	0	0	0	1
"1700028M03Rik"	0	0	0	0	0	0
"1700028P15Rik"	0	0	0	0	0	0
"1700029B22Rik"	0	0	0	0	0	0
"1700029F12Rik"	0	0	0	0	0	0
"1700029H14Rik"	0	0	0	0	0	0
"1700029J03Rik"	3	0	1	3	0	0
"1700029M03Rik"	0	0	0	0	0	0
"1700029M20Rik"	0	0	0	0	10	0
"1700029N11Rik"	0	0	0	0	0	0
"1700030A11Rik"	0	0	0	0	0	0
"1700030C10Rik"	1	2	2	1	0	0
"1700030C12Rik"	4	1	0	0	0	3
"1700030C14Rik"	0	0	0	0	0	0
"1700030F04Rik"	0	0	0	0	0	0
"1700030I03Rik"	0	0	0	0	0	0
"1700030J22Rik"	19	16	29	18	40	25
"1700030K09Rik"	205	280	174	343	240	318
"1700030L20Rik"	0	0	0	0	0	0
"1700030L22Rik"	0	0	11	3	9	0
"1700030M09Rik"	0	0	0	0	0	0
"1700030N03Rik"	0	0	0	0	0	0
"1700030O20Rik"	0	0	0	0	0	0
"1700031A10Rik"	0	0	0	0	0	0
"1700031F05Rik"	0	0	0	0	0	0
"1700031L13Rik"	0	0	0	0	0	0
"1700031M16Rik"	0	0	0	0	0	0
"1700031P21Rik"	0	0	0	0	0	0
"1700034B16Rik"	0	0	0	0	0	0
"1700034E13Rik"	0	0	0	0	0	0
"1700034G24Rik"	0	0	0	0	0	0
"1700034H15Rik"	0	7	16	7	1	0
"1700034J05Rik"	0	0	0	0	0	0
"1700034K08Rik"	0	0	0	0	0	0
"1700034P13Rik"	5	1	10	1	3	3
"1700036A12Rik"	0	0	0	0	0	0
"1700036G14Rik"	0	0	0	0	0	0
"1700037C18Rik"	31	59	30	46	36	70
"1700037F03Rik"	0	0	0	0	0	0
"1700039E22Rik"	0	0	0	0	0	0
"1700039I01Rik"	0	0	0	0	0	0
"1700039M10Rik"	3	0	0	0	0	0
"1700039O17Rik"	0	0	0	0	0	0
"1700040D17Rik"	4	0	0	0	6	0
"1700040F15Rik"	0	0	0	0	0	0
"1700040G22Rik"	0	0	0	0	0	0
"1700040K01Rik"	0	0	0	0	0	0
"1700040P09Rik"	0	0	0	0	0	0
"1700041A01Rik"	0	0	0	1	0	0
"1700041B01Rik"	0	0	0	0	0	0
"1700041C23Rik"	0	0	0	0	0	0
"1700041G16Rik"	0	0	0	0	4	7
"1700041I07Rik"	0	0	0	0	0	0
"1700041M19Rik"	0	0	0	0	0	0
"1700042G15Rik"	0	0	0	0	0	0
"1700042O10Rik"	4	0	3	0	0	0
"1700044C05Rik"	0	0	0	0	0	0
"1700044K03Rik"	0	0	0	0	0	0
"1700045H11Rik"	0	1	0	0	0	0
"1700046C09Rik"	0	0	0	0	0	0
"1700047A11Rik"	0	0	0	0	0	0
"1700047E10Rik"	0	0	0	0	0	0
"1700047F07Rik"	0	0	0	0	0	3
"1700047G03Rik"	0	0	0	0	0	0
"1700047L14Rik"	0	0	0	0	0	0
"1700047M11Rik"	0	0	0	0	0	0
"1700048B10Rik"	0	0	0	0	0	0
"1700048F04Rik"	0	0	0	0	0	0
"1700048M11Rik"	0	0	0	0	0	0
"1700048O14Rik"	0	0	0	0	0	0
"1700048O20Rik"	71	162	126	185	96	136
"1700049E15Rik"	0	0	0	0	0	0
"1700049E17Rik1"	0	0	0	0	0	0
"1700049E17Rik2"	0	0	0	0	0	0
"1700049E22Rik"	0	0	0	0	0	0
"1700049J03Rik"	7	41	40	0	24	30
"1700049L16Rik"	0	0	0	0	0	0
"1700051A21Rik"	0	0	0	0	0	0
"1700051K13Rik"	0	0	0	0	0	0
"1700052H01Rik"	0	0	0	1	0	0
"1700052I22Rik"	0	0	0	0	0	1
"1700052K11Rik"	98	58	55	81	108	94
"1700054A03Rik"	0	2	2	1	0	5
"1700054K19Rik"	0	0	0	0	0	0
"1700054M17Rik"	0	0	0	0	0	0
"1700054O19Rik"	0	0	0	0	0	0
"1700055C04Rik"	0	0	0	0	0	0
"1700055D16Rik"	2	2	0	0	3	5
"1700055D18Rik"	21	4	6	1	10	18
"1700055K11Rik"	0	0	0	0	0	0
"1700055L01Rik"	0	0	0	0	0	0
"1700056E22Rik"	1	5	0	4	8	20
"1700057H15Rik"	0	0	0	0	0	0
"1700057H21Rik"	0	0	0	0	0	0
"1700060C16Rik"	0	0	0	0	0	0
"1700060C20Rik"	0	0	0	0	0	0
"1700060J05Rik"	0	2	0	7	1	0
"1700061F12Rik"	0	0	0	0	0	0
"1700061I17Rik"	0	0	0	0	0	0
"1700061J23Rik"	0	0	0	0	0	0
"1700061N14Rik"	0	0	0	0	0	0
"1700062C10Rik"	0	0	0	0	0	0
"1700063A18Rik"	0	0	0	0	0	0
"1700063D05Rik"	1	0	0	5	0	0
"1700063H04Rik"	0	0	0	0	0	0
"1700063H06Rik"	0	0	0	0	0	0
"1700063K16Rik"	0	0	0	0	0	0
"1700063O14Rik"	0	0	0	0	0	0
"1700064F23Rik"	0	0	0	0	0	0
"1700064J06Rik"	0	0	0	0	0	0
"1700064M15Rik"	0	0	0	0	0	0
"1700065D16Rik"	2	0	2	5	6	0
"1700065I16Rik"	0	0	0	0	0	0
"1700065J11Rik"	0	0	0	0	0	0
"1700065J18Rik"	0	0	0	0	0	0
"1700065L07Rik"	0	0	0	0	0	0
"1700065O20Rik"	0	0	0	0	0	0
"1700066B17Rik"	0	0	0	2	0	0
"1700066C05Rik"	0	0	0	0	0	0
"1700066J03Rik"	0	0	0	0	0	0
"1700066M21Rik"	261	278	301	296	199	283
"1700066N21Rik"	0	0	0	0	0	0
"1700066O22Rik"	0	0	0	0	0	0
"1700067G17Rik"	0	0	0	0	0	0
"1700067K01Rik"	12	5	4	2	1	4
"1700067P10Rik"	0	0	0	0	0	0
"1700069L16Rik"	0	0	0	0	0	0
"1700069P05Rik"	0	0	0	0	0	0
"1700071G01Rik"	0	0	0	0	0	0
"1700071K01Rik"	0	0	0	0	0	0
"1700071M16Rik"	0	0	0	0	1	1
"1700072B07Rik"	0	0	0	0	0	0
"1700072F12Rik"	0	0	0	0	0	0
"1700072I22Rik"	0	0	0	0	0	0
"1700072O05Rik"	0	0	0	0	0	0
"1700073E17Rik"	0	0	0	0	0	0
"1700074H08Rik"	0	0	0	0	0	0
"1700080F18Rik"	0	0	0	0	0	0
"1700080G11Rik"	0	0	0	0	0	0
"1700080N15Rik"	0	0	0	0	0	0
"1700081B01Rik"	0	0	0	0	0	0
"1700081H04Rik"	0	0	0	0	0	0
"1700082M22Rik"	0	5	3	0	14	1
"1700083H02Rik"	0	0	0	0	0	0
"1700084D21Rik"	0	0	0	0	0	0
"1700084E18Rik"	4	6	8	6	10	1
"1700084F23Rik"	0	0	0	0	0	0
"1700084J12Rik"	0	0	0	0	0	0
"1700084M14Rik"	0	0	0	0	0	0
"1700085C21Rik"	0	0	4	0	0	0
"1700086D15Rik"	0	14	14	0	0	1
"1700086L19Rik"	6	6	6	0	0	3
"1700086O06Rik"	122	136	72	79	54	61
"1700086P04Rik"	18	14	1	0	3	8
"1700087M22Rik"	0	0	0	0	0	0
"1700088E04Rik"	6	4	5	10	7	14
"1700091H14Rik"	0	0	0	0	0	0
"1700091J24Rik"	0	0	0	0	0	0
"1700092C02Rik"	0	0	0	0	0	0
"1700092C10Rik"	0	0	0	0	0	0
"1700092E19Rik"	0	0	0	0	0	0
"1700092K14Rik"	0	0	0	0	0	0
"1700093K21Rik"	0	0	0	0	0	0
"1700094J05Rik"	0	0	0	0	0	0
"1700094M23Rik"	0	0	0	0	0	0
"1700094M24Rik"	0	0	0	0	0	0
"1700095A13Rik"	0	0	0	0	0	0
"1700095A21Rik"	0	0	0	0	0	0
"1700095B10Rik"	0	0	0	0	0	0
"1700095J03Rik"	0	0	0	0	0	0
"1700095J07Rik"	0	0	0	0	0	0
"1700095J12Rik"	0	0	0	0	0	0
"1700095K22Rik"	0	0	0	0	0	0
"1700096J18Rik"	3	0	1	0	0	4
"1700096K18Rik"	230	122	45	356	206	252
"1700096P03Rik"	0	0	0	0	0	0
"1700097N02Rik"	0	0	0	1	3	0
"1700099I09Rik"	0	0	0	0	0	0
"1700100I10Rik"	0	0	0	0	0	0
"1700100L14Rik"	0	0	0	0	0	0
"1700101I11Rik"	0	0	0	0	1	1
"1700101O22Rik"	0	0	0	0	0	0
"1700102H20Rik"	5	3	6	1	2	2
"1700102J08Rik"	7	0	0	20	0	0
"1700102P08Rik"	2	3	5	2	7	18
"1700104B16Rik"	0	0	0	0	2	0
"1700104L18Rik"	0	0	0	0	0	2
"1700105F02Rik"	0	0	0	0	0	0
"1700105P06Rik"	0	0	0	0	0	0
"1700108F19Rik"	2	1	2	5	3	2
"1700108I11Rik"	0	0	0	0	0	0
"1700108J01Rik"	0	0	0	0	0	0
"1700108N06Rik"	0	0	0	0	0	0
"1700109G14Rik"	0	3	2	0	1	1
"1700109G15Rik"	0	0	0	0	0	0
"1700109H08Rik"	1	2	0	0	0	0
"1700109I08Rik"	0	0	0	0	0	0
"1700109K24Rik"	8	1	2	1	0	2
"1700110C19Rik"	0	0	1	1	3	0
"1700110I01Rik"	0	0	0	0	0	0
"1700110I07Rik"	0	0	0	0	0	0
"1700110K17Rik"	0	0	0	0	0	0
"1700111N16Rik"	0	0	0	0	0	0
"1700112D23Rik"	0	1	0	1	4	3
"1700112H15Rik"	0	0	0	0	0	0
"1700112J05Rik"	0	0	0	0	0	0
"1700112J16Rik"	1	4	0	0	9	0
"1700112M02Rik"	0	0	0	0	0	0
"1700112N08Rik"	0	0	0	0	0	0
"1700113A16Rik"	31	49	31	55	30	35
"1700113B09Rik"	0	0	0	0	0	0
"1700113H08Rik"	1	0	0	0	0	0
"1700116B05Rik"	0	0	0	0	0	0
"1700116H05Rik"	0	0	0	0	0	0
"1700119H24Rik"	0	0	0	0	0	0
"1700120B22Rik"	0	0	0	1	0	0
"1700120C14Rik"	6	5	2	1	2	4
"1700120E14Rik"	0	0	0	0	0	1
"1700120G07Rik"	0	0	0	0	0	0
"1700120K04Rik"	5	2	6	5	0	9
"1700121C08Rik"	0	0	0	0	0	0
"1700121C10Rik"	0	0	0	0	0	0
"1700121L16Rik"	0	0	0	0	0	0
"1700121M21Rik"	0	0	0	0	0	0
"1700121N20Rik"	0	0	0	0	0	0
"1700122C19Rik"	0	0	0	0	0	0
"1700122E12Rik"	2	1	0	0	2	0
"1700122H20Rik"	0	0	0	0	0	0
"1700122O11Rik"	1	1	0	0	0	0
"1700123J17Rik"	0	0	0	0	0	0
"1700123K08Rik"	0	0	0	0	0	0
"1700123M08Rik"	27	17	1	8	9	13
"1700123O12Rik"	0	0	0	0	0	0
"1700123O20Rik"	1059	895	847	1079	836	1067
"1700123O21Rik"	0	0	0	0	0	0
"1700124L16Rik"	1	5	0	5	1	2
"1700124M09Rik"	0	0	0	0	0	0
"1700125G02Rik"	0	0	0	0	0	0
"1700125G22Rik"	0	0	0	0	0	0
"1700125H03Rik"	0	0	1	3	1	0
"1700126A01Rik"	0	0	0	0	0	0
"1700126G02Rik"	0	0	0	0	0	0
"1700126H18Rik"	0	0	0	0	0	0
"1700127F24Rik"	1	1	0	1	10	0
"1700128A07Rik"	0	0	0	0	0	0
"1700128E19Rik"	0	0	0	0	0	0
"1700128F08Rik"	0	0	0	0	0	0
"1700129C05Rik"	0	0	0	0	0	0
"1810006J02Rik"	0	0	0	0	0	0
"1810007C17Rik"	0	0	0	0	0	0
"1810007D17Rik"	0	0	0	0	0	0
"1810008I18Rik"	0	0	0	0	0	0
"1810009A15Rik"	172	165	172	139	119	132
"1810009J06Rik"	0	0	0	0	0	0
"1810010H24Rik"	14	8	9	6	33	23
"1810010K12Rik"	0	0	0	0	0	0
"1810012K16Rik"	0	5	0	0	2	0
"1810013A23Rik"	0	0	0	0	0	0
"1810013D15Rik"	18	0	7	17	9	1
"1810014B01Rik"	200	228	180	233	175	289
"1810018F18Rik"	0	0	0	0	0	0
"1810019D21Rik"	115	45	20	331	174	124
"1810019N24Rik"	0	0	0	0	4	2
"1810021B22Rik"	15	4	3	32	25	24
"1810021M19Rik"	1	1	0	2	2	0
"1810024B03Rik"	12	0	0	2	1	1
"1810030O07Rik"	1247	945	1035	1148	1112	1236
"1810034E14Rik"	0	8	0	26	26	21
"1810035K13Rik"	0	0	0	0	0	0
"1810037I17Rik"	940	871	732	1270	969	1020
"1810041H14Rik"	7	19	6	14	7	7
"1810044D09Rik"	2	16	20	25	11	28
"1810049I09Rik"	4	0	0	0	0	2
"1810053B23Rik"	0	0	0	3	0	0
"1810055G02Rik"	1208	1280	1325	781	655	551
"1810062G17Rik"	10	6	7	14	1	11
"1810062O18Rik"	14	5	11	17	12	6
"1810063I02Rik"	0	0	0	0	0	0
"1810064F22Rik"	0	1	0	2	0	0
"1810065E05Rik"	0	0	0	0	0	0
"1810073O08Rik"	0	0	0	0	7	0
"2010001A14Rik"	39	20	13	60	53	42
"2010001M07Rik"	0	0	0	0	0	0
"2010003K11Rik"	0	0	0	0	0	0
"2010004M13Rik"	0	0	0	0	0	0
"2010009K17Rik"	2	0	1	0	1	0
"2010010A06Rik"	0	0	0	0	2	0
"2010016I18Rik"	0	0	4	7	7	8
"2010103J01Rik"	0	0	0	0	2	0
"2010106C02Rik"	0	0	0	0	0	0
"2010106E10Rik"	0	0	0	0	0	0
"2010109A12Rik"	0	2	1	4	1	1
"2010109P13Rik"	0	0	0	0	0	0
"2010110K18Rik"	13	17	21	14	8	11
"2010203P06Rik"	1	0	0	0	0	0
"2010204K13Rik"	174	222	182	102	136	226
"2010308F09Rik"	1	1	0	3	0	0
"2010310C07Rik"	0	0	2	0	2	0
"2010315B03Rik"	250	103	222	127	239	168
"2010320M18Rik"	138	123	78	207	159	195
"2010320O07Rik"	0	0	0	12	3	2
"2200002D01Rik"	9	1	1	41	9	21
"2200002J24Rik"	0	0	0	0	0	0
"2210011K15Rik"	0	0	0	0	0	0
"2210016L21Rik"	641	671	547	870	533	630
"2210039B01Rik"	0	3	1	2	8	0
"2210404E10Rik"	0	0	0	0	0	0
"2210406O10Rik"	9	1	8	7	1	2
"2210408F21Rik"	0	0	0	0	0	0
"2210408I21Rik"	212	179	166	144	163	189
"2210409D07Rik"	0	0	0	0	0	0
"2210409E12Rik"	0	0	0	0	0	0
"2210414B05Rik"	0	0	0	0	0	0
"2210416O15Rik"	0	0	1	4	1	0
"2210417A02Rik"	0	0	0	0	0	0
"2210418O10Rik"	2	6	6	6	6	5
"2210420H20Rik"	0	0	0	2	0	0
"2300002M23Rik"	0	0	0	0	0	0
"2300003K06Rik"	0	0	0	0	0	0
"2300009A05Rik"	188	81	126	154	87	125
"2310001H17Rik"	3	2	7	3	5	3
"2310001K24Rik"	1	2	0	0	0	0
"2310002D06Rik"	0	0	0	0	0	0
"2310002F09Rik"	25	9	18	52	45	14
"2310002L09Rik"	0	0	0	0	0	0
"2310003N18Rik"	0	0	0	0	0	0
"2310005A03Rik"	0	0	0	0	0	0
"2310005E17Rik"	0	0	0	0	0	0
"2310008N11Rik"	6	16	6	16	18	26
"2310009B15Rik"	141	130	93	144	92	116
"2310010J17Rik"	4	10	3	10	12	5
"2310011J03Rik"	1147	963	809	995	922	1093
"2310015A10Rik"	103	46	55	97	58	90
"2310015A16Rik"	0	0	0	0	0	0
"2310015D24Rik"	0	0	0	0	0	0
"2310015K22Rik"	0	0	0	3	0	0
"2310016D03Rik"	0	0	0	0	0	0
"2310016D23Rik"	0	0	0	0	0	0
"2310016G11Rik"	0	0	0	0	0	0
"2310020H05Rik"	0	0	0	0	0	0
"2310022A10Rik"	786	530	547	443	554	610
"2310022B05Rik"	1483	993	1744	1120	1085	1901
"2310026I22Rik"	0	0	0	3	0	0
"2310030A07Rik"	0	0	0	0	0	0
"2310030G06Rik"	232	119	168	271	294	245
"2310033P09Rik"	470	429	338	468	342	424
"2310034C09Rik"	0	0	0	0	0	0
"2310034G01Rik"	14	2	17	34	45	21
"2310034O05Rik"	13	27	0	0	0	0
"2310039H08Rik"	309	295	261	385	353	381
"2310039L15Rik"	0	0	0	0	0	0
"2310040G24Rik"	6	7	9	18	6	9
"2310043L19Rik"	0	0	0	0	0	3
"2310043M15Rik"	0	0	0	10	19	0
"2310043O21Rik"	0	0	0	0	0	0
"2310047D07Rik"	0	0	2	0	0	0
"2310047K21Rik"	0	0	0	0	0	0
"2310057J18Rik"	0	0	0	0	0	0
"2310057M21Rik"	498	521	432	319	413	382
"2310057N15Rik"	0	0	0	0	0	0
"2310058D17Rik"	16	5	7	13	20	10
"2310058N22Rik"	7	5	22	11	0	26
"2310061I04Rik"	582	516	632	204	134	248
"2310061N02Rik"	0	0	0	0	0	0
"2310065F04Rik"	0	0	0	0	0	0
"2310067E19Rik"	18	47	29	94	79	39
"2310068J16Rik"	9	7	7	9	14	14
"2310069B03Rik"	0	0	0	0	0	0
"2310069G16Rik"	0	3	0	0	0	1
"2310075C17Rik"	0	0	0	0	0	0
"2310075K07Rik"	46	34	28	61	37	30
"2310079G19Rik"	0	0	0	0	0	0
"2310081J21Rik"	0	0	0	0	0	0
"2400006E01Rik"	0	0	1	5	2	1
